belief_threshold,impulsiveness,skepticism,fake_news_score
20,0.4,0.6,0.0
40,0.8,0.8,0.1
40,1.0,0.8,0.2
40,0.8,0.8,0.30000000000000004
40,1.0,1.0,0.4
40,1.0,1.0,0.5
80,0.4,0.5,0.6000000000000001
60,0.6,0.7,0.7000000000000001
40,0.8,0.8,0.8
60,0.2,0.5,0.9
60,0.8,0.6,0.0
40,0.6,0.6,0.1
80,0.2,0.7,0.2
80,0.6,0.6,0.30000000000000004
60,0.6,0.6,0.4
60,0.4,0.7,0.5
80,1.0,0.3,0.6000000000000001
60,0.8,0.5,0.7000000000000001
40,0.6,0.7,0.8
40,0.8,0.4,0.9
60,0.6,0.6,0.0
20,0.6,0.5,0.1
